Class number,Sub-class number,File Name,Class,
1,1.1,airport-prague-1173-44104-a.mp3,adults_talking,
,,airport-milan-1172-44103-a.mp3,adults_talking,
,,airport-prague-1069-40919-a.mp3,adults_talking,
,,park-prague-1105-42070-a.mp3,adults_talking,
,,public_square-milan-1168-44534-a.mp3,adults_talking,
,,airport-vienna-209-6384-a.mp3,adults_talking,
,,public_square-lisbon-1116-40380-a.mp3,adults_talking,
,,airport-vienna-14-587-a.mp3,adults_talking,
,,public_square-vienna-124-3672-a.mp3,adults_talking,
,,airport-prague-1015-41015-a.mp3,adults_talking,
,,park-paris-100-2854-a.mp3,adults_talking,
,,airport-paris-7-330-a.mp3,adults_talking,
,,airport-lisbon-1175-44606-a.mp3,adults_talking,
,,public_square-milan-1168-44828-a.mp3,adults_talking,
,,airport-lisbon-1175-45593-a.mp3,adults_talking,
,,park-milan-1164-44932-a.mp3,adults_talking,
,,airport-london-6-262-a.mp3,adults_talking,
,,public_square-london-250-7463-a.mp3,adults_talking,
,,airport-lyon-1041-41176-a.mp3,adults_talking,
,,public_square-lyon-1056-41074-a.mp3,adults_talking,
,,airport-london-6-306-a.mp3,adults_talking,
,1.2,airport-barcelona-2-106-a.mp3,"adults_talking,children_voices",
,,airport-prague-1034-43893-a.mp3,"adults_talking,children_voices",
,,public_square-vienna-253-7573-a.mp3,"adults_talking,children_voices",
,,airport-paris-9-404-a.mp3,"adults_talking,children_voices",
,,airport-lyon-1095-42121-a.mp3,"adults_talking,children_voices",
,,airport-helsinki-4-183-a.mp3,"adults_talking,children_voices",
,,airport-barcelona-1-85-a.mp3,"adults_talking,children_voices",
,,airport-lisbon-1000-41698-a.mp3,"adults_talking,children_voices",
,,public_square-vienna-124-3668-a.mp3,"adults_talking,children_voices",
,,public_square-london-113-3292-a.mp3,"adults_talking,children_voices",
,,airport-barcelona-2-105-a.mp3,"adults_talking,children_voices",
,,public_square-london-115-3361-a.mp3,"adults_talking,children_voices",
,,airport-helsinki-4-170-a.mp3,"adults_talking,children_voices",
,,public_square-london-115-3370-a.mp3,"adults_talking,children_voices",
,,public_square-milan-1044-40289-a.mp3,"adults_talking,children_voices,footsteps",
,,airport-london-5-238-a.mp3,"adults_talking,children_voices,footsteps",
,1.3,airport-london-5-226-a.mp3,"adults_talking,footsteps",
,,public_square-prague-1075-43825-a.mp3,"adults_talking,footsteps",
,,airport-milan-1061-40085-a.mp3,"adults_talking,footsteps",
,,public_square-london-115-3339-a.mp3,"adults_talking,footsteps",
,,airport-milan-1089-42633-a.mp3,"adults_talking,footsteps",
,,public_square-helsinki-112-3245-a.mp3,"adults_talking,footsteps",
,,airport-lyon-1041-42246-a.mp3,"adults_talking,footsteps",
,,public_square-london-250-7487-a.mp3,"adults_talking,footsteps",
,,airport-stockholm-208-6317-a.mp3,"adults_talking,footsteps",
,,public_square-vienna-124-3688-a.mp3,"adults_talking,footsteps",
,,airport-vienna-13-529-a.mp3,"adults_talking,footsteps",
,,public_square-paris-116-3406-a.mp3,"adults_talking,footsteps",
,,airport-helsinki-204-6152-a.mp3,"adults_talking,footsteps",
,,public_square-stockholm-119-3503-a.mp3,"adults_talking,footsteps",
,,public_square-helsinki-110-3175-a.mp3,"adults_talking,footsteps",
,,public_square-stockholm-120-3546-a.mp3,"adults_talking,footsteps",
,,airport-london-6-263-a.mp3,"adults_talking,footsteps",
,,airport-barcelona-1-38-a.mp3,"footsteps,adults_talking,children_voices",
,,park-milan-1018-42900-a.mp3,"footsteps,adults_talking,children_voices",
,1.4,public_square-barcelona-107-3084-a.mp3,"adults_talking,music",
,,park-prague-1092-43416-a.mp3,"adults_talking,birds_singing",
,,public_square-barcelona-248-7413-a.mp3,"adults_talking,birds_singing",
,,airport-vienna-14-564-a.mp3,"adults_talking,birds_singing",
,,park-barcelona-91-2535-a.mp3,"adults_talking,birds_singing",
,,park-london-243-7231-a.mp3,"adults_talking,birds_singing",
,,airport-barcelona-203-6123-a.mp3,"adults_talking,birds_singing",
,1.5,public_square-prague-1214-44415-a.mp3,"adults_talking,traffic_noise",
,,public_square-prague-1192-45104-a.mp3,"adults_talking,traffic_noise",
,,public_square-lyon-1056-40078-a.mp3,"adults_talking,traffic_noise",
,,public_square-prague-1111-42640-a.mp3,"adults_talking,traffic_noise",
,,park-prague-1185-44120-a.mp3,"adults_talking,traffic_noise",
,,public_square-lisbon-1039-41355-a.mp3,"adults_talking,traffic_noise",
,,public_square-stockholm-119-3502-a.mp3,"adults_talking,traffic_noise",
,,public_square-helsinki-249-7449-a.mp3,"adults_talking,traffic_noise",
,,airport-lyon-1101-43728-a.mp3,"adults_talking,traffic_noise",
,,park-london-97-2746-a.mp3,"adults_talking,traffic_noise",
,,public_square-paris-251-7532-a.mp3,"adults_talking,traffic_noise",
,,public_square-lisbon-1116-41977-a.mp3,"adults_talking,traffic_noise",
,,public_square-lisbon-1211-44949-a.mp3,"adults_talking,traffic_noise,children_voices",
,,public_square-london-114-3315-a.mp3,"adults_talking,announcement_speech",
,,public_square-london-114-3306-a.mp3,"adults_talking,announcement_speech",
,,airport-helsinki-204-6139-a.mp3,"adults_talking,dog_barking",
2,2.1,park-milan-1018-41219-a.mp3,children_voices,
